,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Buyer,Cust_Age,TotalBought,TotalFamily,Class,TotPurch,DiscPer,DiscAcc
31,3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,2,52,318,2,Lower,10,10.0,Low Acceptance
32,5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,2,45,120,3,Middle,7,28.57142857142857,Low Acceptance
33,7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,1,63,302,3,Middle,11,54.54545454545454,Middle Acceptance
34,8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,2,69,1196,2,Upper,17,5.88235294117647,Low Acceptance
35,10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,1,64,65,3,Middle,5,20.0,Low Acceptance
36,4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,2,45,913,3,Upper,23,21.73913043478261,Low Acceptance
37,10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,2,39,81,3,Lower,6,50.0,Middle Acceptance
38,8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,42,67,2,Middle,5,40.0,Middle Acceptance
39,2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,1,72,902,1,Middle,22,9.090909090909092,Low Acceptance
40,8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,2,35,1395,3,Upper,19,10.526315789473683,Low Acceptance
41,503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,2,30,53,3,Lower,5,40.0,Middle Acceptance
42,8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,2,58,22,3,Lower,3,33.33333333333333,Middle Acceptance
43,7281,1959,PhD,Single,54998.0,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,1,56,186,1,Middle,8,12.5,Low Acceptance
44,2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,2,40,31,3,Lower,5,60.0,Middle Acceptance
45,1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,1,39,984,1,Upper,15,6.666666666666667,Low Acceptance
46,9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,2,19,122,2,Lower,7,42.857142857142854,Middle Acceptance
47,7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,2,47,55,3,Middle,4,25.0,Low Acceptance
48,7244,1951,Graduation,Single,51844.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,1,64,124,4,Middle,7,42.857142857142854,Middle Acceptance
49,6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,2,61,1319,4,Upper,19,47.368421052631575,Middle Acceptance
50,8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,58,507,2,Upper,16,6.25,Low Acceptance
51,4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,2,51,1693,2,Upper,28,3.571428571428571,Low Acceptance
52,1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,38,72,2,Lower,5,40.0,Middle Acceptance
53,2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1,38,1617,1,Upper,20,5.0,Low Acceptance
54,9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,37,606,4,Upper,16,43.75,Middle Acceptance
55,6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,2,60,1957,2,Upper,26,3.8461538461538463,Low Acceptance
56,10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1,49,1093,1,Upper,20,5.0,Low Acceptance
57,7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,27,29,2,Lower,5,20.0,Low Acceptance
58,8557,1982,Graduation,Single,51844.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,1,33,46,2,Middle,5,40.0,Middle Acceptance
59,8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,2,47,518,3,Middle,16,18.75,Low Acceptance
60,6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1,33,1438,1,Upper,20,5.0,Low Acceptance
61,3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,40,612,4,Upper,18,22.22222222222222,Low Acceptance
62,1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,63,884,2,Middle,20,20.0,Low Acceptance
63,6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,64,606,2,Upper,18,5.555555555555555,Low Acceptance
64,4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,2,67,1076,2,Upper,15,6.666666666666667,Low Acceptance
65,8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,2,44,34,3,Lower,4,25.0,Low Acceptance
66,1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,48,11,4,Lower,3,33.33333333333333,Middle Acceptance
67,9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,36,1274,2,Upper,31,3.225806451612903,Low Acceptance
68,4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,2,57,653,3,Upper,17,5.88235294117647,Low Acceptance
69,1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,2,45,1562,5,Upper,12,58.333333333333336,Middle Acceptance
70,1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,2,61,1253,2,Upper,18,16.666666666666664,Low Acceptance
71,10629,1973,2n Cycle,Married,47633.19,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,2,42,109,3,Middle,6,50.0,Middle Acceptance
72,6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,2,56,863,3,Upper,26,15.384615384615385,Low Acceptance
73,8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,2,40,661,4,Middle,19,26.31578947368421,Low Acceptance
74,1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,2,63,65,2,Lower,7,14.285714285714285,Low Acceptance
75,5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,38,13,2,Lower,3,33.33333333333333,Middle Acceptance
76,1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,2,43,1890,2,Upper,18,5.555555555555555,Low Acceptance
77,7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,1,39,2209,1,Upper,22,0.0,Low Acceptance
78,10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,2,39,18,2,Lower,3,33.33333333333333,Middle Acceptance
79,1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,2,50,692,2,Middle,19,10.526315789473683,Low Acceptance
80,3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1,30,165,2,Lower,8,50.0,Middle Acceptance
81,2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,2,46,16,3,Lower,3,33.33333333333333,Middle Acceptance
82,5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,2,42,79,3,Lower,6,50.0,Middle Acceptance
83,4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,2,52,318,2,Lower,10,10.0,Low Acceptance
84,535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,1,28,778,1,Upper,26,3.8461538461538463,Low Acceptance
85,5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,2,55,56,4,Lower,5,40.0,Middle Acceptance
86,273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,2,45,151,4,Lower,8,62.5,Middle Acceptance
87,4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,1,58,372,2,Middle,13,30.76923076923077,Low Acceptance
88,8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,2,42,1366,2,Upper,18,5.555555555555555,Low Acceptance
89,771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,2,48,194,3,Middle,9,11.11111111111111,Low Acceptance
90,8996,1957,PhD,Married,54998.0,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,2,58,603,5,Middle,17,70.58823529411765,High Acceptance
91,9235,1957,Graduation,Single,51844.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,1,58,18,3,Middle,3,33.33333333333333,Middle Acceptance
92,5798,1973,Master,Together,50920.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,2,42,985,2,Middle,14,7.142857142857142,Low Acceptance
93,11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,43,32,2,Middle,4,25.0,Low Acceptance
94,2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,2,45,43,3,Lower,7,42.857142857142854,Middle Acceptance
95,7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,2,32,45,3,Lower,5,20.0,Low Acceptance
96,7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1,55,606,2,Middle,17,29.411764705882355,Low Acceptance
97,11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,1,43,63,3,Middle,5,40.0,Middle Acceptance
98,4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,2,64,978,2,Upper,24,4.166666666666666,Low Acceptance
99,3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,2,32,410,2,Middle,14,14.285714285714285,Low Acceptance
100,1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,55,72,2,Middle,5,40.0,Middle Acceptance
101,1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,1,56,55,2,Lower,5,40.0,Middle Acceptance
102,4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,2,36,1169,3,Upper,25,8.0,Low Acceptance
103,9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,2,70,1120,2,Upper,15,6.666666666666667,Low Acceptance
104,8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,2,56,1097,2,Upper,19,5.263157894736842,Low Acceptance
105,8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,2,36,29,3,Lower,4,25.0,Low Acceptance
106,7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,2,51,187,4,Middle,9,44.44444444444444,Middle Acceptance
107,2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,46,910,4,Middle,22,18.181818181818183,Low Acceptance
108,3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1,37,145,2,Lower,7,28.57142857142857,Low Acceptance
109,10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,2,55,850,2,Upper,13,7.6923076923076925,Low Acceptance
110,5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,2,36,969,3,Upper,23,4.3478260869565215,Low Acceptance
111,7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1,24,1820,1,Upper,16,6.25,Low Acceptance
112,3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,2,52,608,3,Middle,17,17.647058823529413,Low Acceptance
113,999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,1,24,730,1,Upper,24,4.166666666666666,Low Acceptance
114,9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,2,35,551,3,Middle,16,31.25,Low Acceptance
115,2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,1,53,114,3,Middle,6,33.33333333333333,Middle Acceptance
116,1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,2,45,1724,2,Upper,15,0.0,Low Acceptance
117,367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,2,37,577,3,Lower,15,33.33333333333333,Middle Acceptance
118,5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,2,48,81,4,Lower,5,40.0,Middle Acceptance
119,9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,2,46,33,3,Lower,5,40.0,Middle Acceptance
120,9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,2,62,660,3,Middle,18,22.22222222222222,Low Acceptance
121,6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,1,48,80,2,Lower,6,50.0,Middle Acceptance
122,8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,2,30,30,4,Lower,4,50.0,Middle Acceptance
123,7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,1,39,43,2,Lower,4,25.0,Low Acceptance
124,7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1,32,1135,1,Upper,27,0.0,Low Acceptance
125,1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,2,50,559,2,Upper,14,14.285714285714285,Low Acceptance
126,11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1,31,1923,1,Upper,15,6.666666666666667,Low Acceptance
127,3381,1953,Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,2,62,90,4,Middle,6,33.33333333333333,Middle Acceptance
128,8268,1961,PhD,Married,54998.0,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,2,54,404,3,Middle,14,21.428571428571427,Low Acceptance
129,11051,1956,PhD,Together,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,2,59,661,4,Upper,19,21.052631578947366,Low Acceptance
130,8026,1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,2,63,463,3,Upper,14,35.714285714285715,Middle Acceptance
131,433,1958,Master,Alone,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,1,57,632,3,Middle,18,27.77777777777778,Low Acceptance
132,9597,1969,Graduation,Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,2,46,725,2,Upper,18,5.555555555555555,Low Acceptance
133,1295,1963,Graduation,Married,51844.5,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,2,52,725,3,Middle,18,5.555555555555555,Low Acceptance
134,5290,1964,PhD,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,2,51,279,4,Middle,11,45.45454545454545,Middle Acceptance
135,1685,1967,PhD,Together,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,2,48,1482,2,Upper,22,4.545454545454546,Low Acceptance
136,5342,1976,Basic,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,1,39,29,2,Lower,4,50.0,Middle Acceptance
